A: ムーリエルは２０歳になりました。	Muiriel is 20 now.#ID=1282_4707
A: この文の中で「ｇｅｔ」という単語はどういう意味ですか。	What does the word "get" mean in this sentence?#ID=57245_219925
A: この服似合うかしら？	Does this dress look OK on me?#ID=57279_219959
A: この部屋用に新しいじゅうたんを買わなければいけない。	We must buy a new carpet for this room.#ID=57291_219971
A: この部屋は中で勉強するには暑すぎます。これ以上我慢できません。	This room is too hot to study in. I can't stand it any more.#ID=57303_219983
A: この部屋は少しも暖かくない。	This room is anything but warm.#ID=57311_219991
A: この部屋はとても手狭なので、もうこれ以上家具を置くのはむりだよ。	This room is very small, so it is impossible to put more furniture in it.#ID=57317_219997
A: この部屋には窓が3つある。	This room has three windows.#ID=57343_220024
A: この親にしてこの子あり。	Like father, like son.#ID=2345_220068
A: この美術館の入場料は30ドルです。	Admission to the museum is thirty dollars.#ID=57446_220127
A: この犯罪者は遺伝の犠牲者だ。	This criminal is a victim of his heredity.#ID=57477_220158
A: この日私たちは先祖の墓参りをする。	We visit the tombs of our ancestors on this day.#ID=57548_220230
A: この道でいいの？	Am I on the right road?#ID=57633_220313
A: この辺りの風景はとても美しい。	The scenery about here is very beautiful.#ID=57651_220330
A: この店ではちゃんとした身なりをしなさい。	You are expected to dress well for this shop.#ID=57764_220441
A: この通りのモーテルはどこも満室だ。	All the motels on this road are full.#ID=57806_220483
A: この町は暮らしにくい。	This city is hard to live in.#ID=57838_220515
A: このお茶は香りがいい。	This tea smells good.#ID=57890_220568
A: この地域社会に住む一人一人は、健康な人間が持つ免疫機構の細胞のようなものだ。	Every person in this community is like a cell in the immune system of a healthy human body.#ID=57917_220595
A: この段階を踏まえ、抑圧という概念をさらに詳細に検証していくことになります。	From this point we go on to an even more detailed examination of the concept of repression.#ID=57953_220631
A: この前行った事務所では数時間で仕事が終わってしまって、残りの時間が退屈だったわ。	At the last office I went to I ran out of work after a couple of hours, which made the rest of the day rather boring.#ID=58055_220733
A: この赤ちゃんは生後3週間です。	This baby is 3 weeks old.#ID=58191_220869
A: この数年間に彼は不朽の名詩を書いた。	During these years he wrote immortal poems.#ID=58279_220957
A: この図が私の言いたいことを説明してくれるでしょう。	This diagram will illustrate what I mean.#ID=58311_220989
A: この新人のアナウンサー、さっきからとちってばかりいる。	This new announcer keeps stumbling.#ID=58352_221030
A: この食べ物は、私には合わない。	This food does not agree with me.#ID=58378_221057
A: この食べ物は、それなくしては我々の身体が正しく機能しないすべてのミネラルを含んでいます。	This food contains all the minerals without which our bodies would not function.#ID=58380_221058
A: この小説は三部構成だ。	This novel consists of three parts.#ID=58479_221166
A: この女の子は昨日来た子だ。	This is the girl that came yesterday.#ID=58519_221196
A: この暑さの中帽子なしで外出してはいけません。	Don't go out in this heat with a bare head.#ID=58541_221217
A: これは誰からの手紙ですか？	Who is this letter from?#ID=58655_221331
A: この車は新車同様だ。	This car is like new.#ID=58711_221386
A: この車はあの車より大きい。	This car is bigger than that one.#ID=58742_221417
A: この自動車は操縦しやすい。	This car is easy to handle.#ID=58876_221552
A: 彼ならこの問題を解けるだろう。	Perhaps he could solve this problem.#ID=59007_221681
A: この子は物覚えが早い。	The child is learning quickly.#ID=59086_221760
A: この仕事は単純なので子供にもできる。	This work is simple enough for a child to do.#ID=59121_221795
A: 傘を持っている男性はケンです。	The man holding the umbrella is Ken.#ID=1353569_221862
A: この国はどのぐらいいるつもりですか。	How long do you plan to stay in this country?#ID=59253_221927
A: それはこの国でもっとも盛んなスポーツだった。	It was the most popular sport in this country.#ID=59274_221948
A: この国では出生率が急速に低下している。	The birthrate is rapidly declining in this country.#ID=59280_221954
A: この構成において、三角形の代わりに長方形を用いても類似の困難が生ずる。	We encounter similar difficulties when we substitute rectangles for triangles in this configuration.#ID=59306_221980
A: この建物には犬を連れてはいれません。	You aren't permitted to bring dogs into this building.#ID=59449_222124
A: この建物から出てはいけないことになっている。	You are not to leave this building.#ID=59452_222127
A: この件について、どう感じますか。	How do you feel about the issue?#ID=59469_222143
A: この件についてあなたと話をしたいのですが。	I would like to talk with you about this matter.#ID=59470_222145
A: この教会は12世紀に建てられた。	This church was built in the 12th century.#ID=59673_222346
A: この機械は我々が日常使う電気を生み出している。	This machine produces electricity for our daily use.#ID=59801_222472
A: この間、歯医者行ったら、念のためとか言われて、歯型とレントゲンをとられた。いい商売してるよ。	I went to the dentist recently and he did a cast of my teeth and took an X-ray, 'just in case.' It sounds like a good business to be in.#ID=59900_222570
A: この漢字はどういう意味ですか。	What does this kanji mean?#ID=59905_222576
A: この花は北海道のあちこちで見られる。	This flower is found in different parts of Hokkaido.#ID=60049_222719
A: この家は山田さんが所有している。	This house belongs to Mr Yamada.#ID=60149_222820
A: この英作文はよくできすぎている。	The English of this composition is too good.#ID=60235_222904
A: この運動は、フェミニストたちが女性問題について論じるための話の広場ないし演壇のようなものである。	This movement is like a forum or platform from which feminists speak out on women's issues.#ID=60259_222928
A: この雨の天気にはうんざりだ。	I'm fed up with this wet weather.#ID=60263_222936
A: この路地は通り抜けできません。	This is a dead-end alley.#ID=60323_222992
A: このレコードには美しい歌がたくさん入っている。	There are a lot of beautiful songs on these records.#ID=60344_223013
A: このホテルは犬は受け入れない。	This hotel does not take dogs.#ID=60478_223147
A: このホールは最大で１０００人収容できる。	This hall holds a maximum of 1,000 people.#ID=60513_223181
A: このホールは２０００人収容できる。	This hall holds 2,000 people.#ID=60518_223186
A: この辺にホテルはありますか。	Is there a hotel around here?#ID=60540_223208
A: このプールは１３歳未満の子供の入場は許可されていない。	Children under thirteen years of age are not admitted to this swimming pool.#ID=60584_223252
A: このパンは焼き立てである。	This bread is fresh from the oven.#ID=60630_223298
A: このバスは50人乗りです。	This bus can hold fifty people.#ID=60679_223346
A: 君は違う方にいきますよ。	You're going the wrong way.#ID=60701_223368
A: このはしごをしっかりと押さえておいて下さい。	Please hold this ladder steady.#ID=60706_223373
A: このところ、ここの気候はかなり変だけど、君も知ってのとおり、その方が僕の性に合っていてね。	The weather here has been very unusual, but you know that's my cup of tea.#ID=60802_223467
A: このドアは開かない。	This door won't open.#ID=60820_223485
A: このテキストは易しい英語で書かれている。	This textbook is written in simple English.#ID=60846_223511
A: このじゅうたんの大きさは縦１２０センチ横１６０センチだ。	The size of the carpet is 120 by 160 centimeters.#ID=61019_223683
A: このご婦人が通れるように道をあけてください。	Please move out of the way so this lady can go through.#ID=61059_223723
A: このことばはどういう意味ですか。	What does this word mean?#ID=48085_223775
A: このクレジット・カードは私たちにある種の特典を与えてくれる。	This credit card entitles us to certain privileges.#ID=61173_223837
A: このクラスには女の子は3人しかいません。	There are only three girls in the class.#ID=61192_223856
A: このキャンセル確認のｅ―ｍａｉｌをください。	Please confirm the cancellation by e-mail.#ID=61200_223864
A: この木は深くまで根が張っている。	The roots of this tree go down deep.#ID=61202_223867
A: このかたが昨晩私がお話ししたお医者さんです。	This is the doctor whom I spoke of last night.#ID=61241_223906
A: このカウンターでウイスキーの飲んでいるヤツ、けっこう私のタイプだわ。	See that guy over there at the counter drinking whisky? He's pretty much my type.#ID=50924_223912
A: この人形は大きい目をしている。	This doll has big eyes.#ID=61270_223935
A: このエレベーターの定員は１０人だ。	This elevator's capacity is ten people.#ID=61310_223975
A: このｅ―ｍａｉｌアドレスは明日からは使用不可能になります。	From tomorrow this email address will be invalid.#ID=61384_224048
A: この生まれつきのあざに悩んでいます。	I'm troubled by this birth-mark.#ID=61418_224082
A: この４語はたくさんの複雑な情報を伝えるばかりでなく、諺の持つ説得力もあるのである。	Those four words carried not only a lot of complex information, but also the persuasive force of a proverb.#ID=61419_224083
A: コップの中に牛乳は少しもない。	There isn't any milk in the glass.#ID=61445_224109
A: コップに水をいっぱい入れなさい。	Fill a glass with water.#ID=61447_224111
A: こちらは先日私がお話しした人です。	This is the person I spoke about the other day.#ID=1108059_224149
A: こちらはケンです。彼は自分の犬が大好きです。	This is Ken. He really likes his dog.#ID=61491_224155
A: こちらはあなたがお話しになるお方です。	This is the man for you to speak to.#ID=61493_224157
A: こちらが昨日お話しした婦人です。	This is the lady I spoke of yesterday.#ID=61531_224194
A: ここは昔、私の家族が住んでいた所です。	This is where my family used to live.#ID=61629_224294
A: ここに生年月日を書いてください。	Write down your date of birth here.#ID=61733_4562200
A: ここに車を止めてはいけない。	You cannot park your car here.#ID=61755_224420
A: ここで騒いではいけません。	Don't make noise here.#ID=61879_224544
A: ここでの喫煙はご遠慮下さい。	Please refrain from smoking here.#ID=61939_224608
A: ここではたばこを吸うことを厳に禁じられている。	Smoking is strictly forbidden here.#ID=61961_224626
A: ここだけの話だけれど和夫の妻は妊娠しています。	It's just between you and me, but Kazuo's wife is pregnant.#ID=904279_224700
A: ここから歩いてわずか10分です。	It's only ten minutes' walk from here.#ID=62059_224725
A: ここが、ヘースティングズの戦いがあった所です。	This is the place where the battle of Hastings took place.#ID=62156_224821
A: コカ・コーラもらえませんか。	May I have a Coca-Cola?#ID=62170_224836
A: コーヒーメーカー（２５―Ａ）一台を注文します。貴社の注文書を同封しました。	I would like to order one coffee machine (Model 25-A) and have enclosed your order form.#ID=62230_224895
A: マメちゃんがコーヒー豆を挽く為にコーヒーミルを使います。	Mame uses a coffee mill to grind coffee beans.#ID=62231_224896
A: コーヒーは私には苦すぎて飲めなかった。	The coffee is too bitter for me to drink.#ID=62239_224904
A: こういうものが欲しいと思ってました。	This is just what I wanted.#ID=55891_224987
A: こういう野菜の無人販売所は、都会では見かけないよね。	You don't see this kind of vegetable vending machine in the city.#ID=62367_225032
A: こういうタイプの人はおもしろくない。	That type of person is dull.#ID=62411_225076
A: ケンは野球部に入った。	Ken joined the baseball club.#ID=62432_225097
A: ケンは今忙しいんですよね？	Ken is busy now, isn't he?#ID=62438_225103
A: ケンはどうしても私のいうことを聞こうとしなかった。	No matter what I did, Ken wouldn't do what I told him.#ID=62496_225161
A: ケンは、今ごろ家に着いているに違いない。	Ken must be home by now.#ID=62513_225177
A: ケンは京都に着いた。	Ken has arrived in Kyoto.#ID=62514_225178
A: トムとメアリーは私を見送りに駅までわざわざ来てくれた。	Tom and Mary went out of their way to come to the station to see me off.#ID=4870749_225198
A: ケビンが言うことはほら話ばかりなので、誰も彼のことを信じなかった。	Nobody believed Kevin because all he ever told were tall stories.#ID=62572_225236
A: けばけばしい奇妙な服を着ていた彼女は人込みの中でも一際目立った。	Dressed in a loud and peculiar outfit, she stood out in the crowd.#ID=62574_225238
A: ケーキを捜してもむだだよ、私が食べちゃったんだから。	It is no use looking for the cake; I already ate it.#ID=62631_225295
A: ケーキを食べないかい？	Won't you have some cake?#ID=62650_225314
A: ケイトを待っている間にボブとメアリーを見かけた。	Waiting for Kate, I saw Bob and Mary.#ID=62670_225333
A: ケイトはとても速く英語を話します。	Kate speaks English very fast.#ID=62705_225368
A: クレジットカードはお持ちですか。	Do you have a credit card?#ID=62771_225434
A: クリスは理科の授業で落ちこぼれそうです。	Chris risks falling behind in the science class.#ID=3566698_225486
A: 喪服をクリーニングに出せますか？	Is it possible to send mourning clothes to the cleaner?#ID=62866_225530
A: 私はグリークラブのメンバーです。	I'm a member of the glee club.#ID=62867_225531
A: クラスメイトの何人かが私が彼にチョコレートをあげるのを見た。	Some classmates saw me give him chocolate.#ID=62904_225568
A: クラスで彼ほど頭のいい少年はいない。	No other boy in his class is as bright as he.#ID=62934_225598
A: くしゃみが止まりません。	I can't stop sneezing.#ID=63043_225705
A: マーティン・ルーサー・キング牧師の支持者の中には、平和的に抗議するという彼の信念に疑いの念を持つ物も現れ始めた。	Some of Martin Luther King's supporters began to question his belief in peaceful protests.#ID=63066_225728
A: 私はギリシャ文化について学んだ。	I learned about Greek culture.#ID=63102_225764
A: 今日は絶対に外へ出てはいけない。	On no account must you go out today.#ID=63122_225784
A: 今日はとりわけ暑いというわけではない。	It is not especially hot today.#ID=63125_225787
A: 今日の午後に英語の試験があります。	We will have an English test this afternoon.#ID=63135_225797
A: キャロラインはすべてのお金を洋服に使うほど愚かではない。	Caroline knows better than to spend all her money on clothes.#ID=63173_225835
A: 君のおじさんとは長年の知り合いだ。	Your uncle and I have known each other for many years.#ID=63263_225926
A: 昨日は生物の試験があった。	We had an examination in biology yesterday.#ID=63304_225965
A: 彼はきっと君が好きなんだ。	He must love you.#ID=63365_226025
A: ギターが弾けますか。	Can you play the guitar?#ID=63394_226054
A: ギターをひくのはおもしろい。	Playing the guitar is fun.#ID=63399_226059
A: かわいそうなその少年達は、恐ろしさに震えていた。	The poor boys were shivering with fear.#ID=63444_226104
A: かわいそうにその少年はどうしたらよいのか途方にくれていた。	The poor boy was at a loss what to do.#ID=63446_226106
A: かわいそうにその少女は一日中泣いてばかりいた。	The poor little girl did nothing but sob all day.#ID=63449_226109
A: カレンは自分でそこへ行った。	Karen went there herself.#ID=63472_226131
A: カルロスは少し待った。	Carlos waited a moment.#ID=63496_226155
A: 体をもっと大切にしておけばよかったのだが。	I wish I had taken better care of myself.#ID=63520_226180
A: カメラを持っていった。	I took my camera along.#ID=63554_226214
A: かのローマの偉大な英雄、ジュリアス・シーザーは暗殺されたのです。	The great Roman hero, Julius Caesar, was assassinated.#ID=63588_226248
A: 彼女は子供たちに面白い話をしてあげた。	She told her children an amusing story.#ID=63589_226249
A: 彼女はビールを飲むくせがついた。	She took to drinking beer.#ID=63590_226250
A: 彼女はインクで書いた。	She wrote in ink.#ID=63591_226251
A: 彼女の帽子はおかしかった。	Her hat looked funny.#ID=63592_226252
A: 彼女がいつ戻ってくるかは分かりません。	I do not know when she will come back.#ID=63593_226253
A: かなり痛むのですか。	Will it hurt a lot?#ID=63598_226258
A: かなり多くの人が、変装していたのが彼だとわからなかった。	Quite a few people couldn't recognize him in that disguise.#ID=63603_226269
A: かなり早い時間に出発しなければならなかった。	We had to make a very early start.#ID=63610_226270
A: かなりの乗客が船に乗っていた。	There were quite a few passengers on board the ship.#ID=63619_226279
A: かなづち同様、ボブは全く泳げない。	Bob can no more swim than a hammer can.#ID=33260_226285
A: カナダには、木を切るのが違法とされる地域が沢山ある。	In Canada, there are many areas where it is illegal to log trees.#ID=63643_226303
A: カナダとの関係は適切かつ冷静な状態が保たれていた。	Relations with Canada remained correct and cool.#ID=63645_226305
A: カナダでは英語とフランス語を話します。	They speak English and French in Canada.#ID=63649_226309
A: かつて彼はそこで父親に会った。	Once he saw his father there.#ID=63664_226324
A: かつて私は２、３人の少年とよく遊んだものだ。	I used to play with a couple of boys.#ID=63668_226328
A: かつて宗教と科学のあいだに大きな衝突があった。	There was a great conflict between religion and science.#ID=63671_226330
A: かつてトマトは有毒だと信じられていたことがあった。	It is once believed that tomatoes were poisonous.#ID=63680_226339
A: かつてその国には残酷な支配者がいた。	There was once a cruel ruler in the country.#ID=63682_226341
A: カッコウを見た事がありますか。	Have you ever seen a cuckoo?#ID=63693_226352
A: カッコウは春にここにやってくる。	Cuckoos visit here in spring.#ID=63694_226353
A: カルタゴ人は平和を切望した。	The Carthaginians longed for peace.#ID=63707_226364
A: ガソリンを満タンにして、ついでにオイルも見てくれませんか？	Could you fill it up and take a look at the oil, too?#ID=63711_226368
A: ガソリンの需要は非常に高い。	There is a great demand for gasoline.#ID=63718_226375
A: カズは日本一のサッカー選手と言われている。	It is said that Kazu is the best soccer player in Japan.#ID=63749_226405
A: かしこまりました。サラダバーはあちらです。	All right, sir. The salad bar is over there.#ID=63758_226414
A: 傘をなくしたから、新しいのを買わなければならない。	I've lost my umbrella. I must buy a new one.#ID=63761_226417
A: かごの中のバナナの半分は腐っていた。	Half of the bananas in the basket were rotten.#ID=63764_226420
A: かごがひとつ、テーブルのしたにある。	There is a basket under the table.#ID=63769_226424
A: これがあなたの面白い本ですか。	Is this your interesting book?#ID=63814_226469
A: お詫びに二言三言、言わせてください。	I'd like to say a few words by way of apology.#ID=63841_226496
A: お話し中すみません。	May I cut in?#ID=63848_226503
A: 話し中です。	The line is busy.#ID=63854_226509
A: お話ししてもよいですか。	May I talk to you?#ID=63855_226511
A: お話ししたいことがあります。	Can we talk?#ID=63859_226514
A: お名前は何とおっしゃいましたか。	What was your name?#ID=63913_226567
A: 心配しないでお母さん。彼は食べ物にはうるさくないから。何でも食べてくれるよ。	Don't worry, Mom. He isn't particular about food. He eats anything.#ID=63940_226596
A: お母さんの具合はどう？	How's your mother?#ID=533746_226619
A: お風呂沸いてる？	Is the bath ready?#ID=64038_226694
A: お風呂沸いたわよ。	The bath is ready.#ID=64039_226695
A: お風呂にはいるとくつろぐね。	Taking a bath makes me relax.#ID=64044_226699
A: スコット君！お昼はホットドッグにしてね。	Scott! Please make hotdogs for lunch.#ID=64171_226823
A: お待ち下さい。彼を電話口に出しますから。	Please hang on. I'll put him on the phone.#ID=64252_226903
A: 彼はお前の弟に似ているよ。	He looks like your brother.#ID=64296_226948
A: お酒を飲むと影響が出るものだ。	Liquor will have an effect on a person.#ID=64385_227037
A: お辞儀はどうしたの？	Where is your cap?#ID=64443_227094
A: お好きな席にどうぞ。	Sit wherever you like.#ID=64505_227156
A: お互いに助け合うのは、我々の義務である。	It is our duty to help one another.#ID=64522_227173
A: お願いだから、怒らないでください。	For the love of Heaven, don't get angry.#ID=64701_227348
A: お願いがあるんですが。お金を貸していただけませんか。	Could you do me a favor? Will you lend me some money?#ID=64706_227354
A: お飲み物はいかが？	Do you want something to drink?#ID=64760_227408
A: オンラインでお話しした方がよろしければそうします。	If you need to go off-line, that is fine.#ID=64769_227417
A: 俺もその汽車に乗るんだぜ。	I'm also taking this train.#ID=930066_227442
A: おや、彼女はうれしくて泣いているの？	Oh my! Is she weeping for joy?#ID=64837_227484
A: おまえの上着は私の勘定につけておきなさい。	Put your coat on my account.#ID=64891_227538
A: おまえさんのおかげで私達はひどい目にあわされた。	That is a fine fix you have got us into.#ID=64897_227544
A: カナダ人がおので木を切り倒した。	The Canadian chopped down the tree with an ax.#ID=64947_227594
A: おのおのの建物には名前がある。	Each building has a name.#ID=64949_227596
A: 君のお父さんが言う事なんて気にしないでいいのさ。	Don't pay any attention to what your father says.#ID=402486_227622
A: おしるしが出ました。	I've had a show.#ID=65044_227691
A: 叔父はすらっとしているが、叔母は太っている。	My uncle is slender, but my aunt is stout.#ID=65074_227721
A: おじいちゃんが階段から落ちて大怪我をした。	Grandpa fell down the stairs and got a serious injury.#ID=65091_227738
A: 狼を飼い慣らすことはできません。	You cannot tame a wolf.#ID=65163_227810
A: エンジンを前輪に連動させてください。	Gear the engine to the front wheels.#ID=65211_227857
A: エンジンをチェックしましたか。	Have you checked the engine?#ID=65213_227860
A: エレンはたいそう疲れていたので早く寝た。	Ellen was so tired that she went to bed early.#ID=65232_227879
A: エヴェレストの高さはどのくらい？	What is the height of Mt. Everest?#ID=65303_227950
A: エドガー・ドガは多くの画家達よりも幸運であった。	Edgar Degas was luckier than many painters.#ID=65312_227959
A: エジプトでは、何語が話されていますか。	What language do they speak in Egypt?#ID=65336_227983
A: ええと、買ったのは先週でした。	Let's see. I bought it last week.#ID=65340_227987
A: えー、信じらんなーい！	Gee, unbelievable!#ID=65354_228001
A: ええ、わたしもそう思います。	Yeah. I think so, too.#ID=65359_228006
A: 運悪く仕事が見つからなかった。	He had no luck in finding work.#ID=65404_228050
A: 運よく彼らは逃れることができた。	By good fortune, they escaped.#ID=65405_228051
A: うん、僕もその通りだと思うよ。	Mm-hm. I think so too.#ID=65411_228057
A: うるさい少年たちのグループは手に負えなくなってきた。	The group of noisy boys was getting out of hand.#ID=65443_228089
A: うらやましそうに彼女を見るな。	Don't look at her enviously.#ID=65444_228090
A: うちの父ったら、夜私を一人で外へ出してくれないの。	My father doesn't let me go out alone at night.#ID=65513_228159
A: ウィルソンさんが家に居るかどうか、行って見ておいで。	Go and see if Mr Wilson is at home.#ID=65687_228331
A: いやだと言うことは彼女にとって心理的に難しい。	It is psychologically difficult for her to say no.#ID=65838_228480
A: 「お父さんは忙しいですか？」「いや、忙しくないだろう。」	"Is your father busy?" "No, I don't think he is."#ID=65853_228495
A: 今のところ順調だ。	So far, so good.#ID=55348_228532
A: いないところで人の悪口を絶対に言ってはいけない。	Never speak ill of others behind their backs.#ID=65942_228584
A: いつ頃着きますか。	When will they arrive?#ID=66016_228658
A: 彼らはいつも不平ばかり言っている。	They are always complaining.#ID=66059_228701
A: 私はいつも締め切りを守っている。	I always keep my deadlines.#ID=66065_228707
A: いっぱい入ったコップ持参しなければならない。	You must bring the full glass with you.#ID=66158_228801
A: 何でもいったんやり始めたら、絶対にあきらめるな。	Once you have begun to do something, never give up.#ID=66238_228880
A: いつごろ返事をいただけますか。	When will you give me your answer?#ID=66327_228969
A: いつかお話しした私の妹にあってやって下さい。	I want you to meet my sister, whom I spoke of the other day.#ID=66373_229015
A: いつ、どこで彼女と知り合ったんだい。	When and where did you come to know her?#ID=66403_229046
A: イタリア旅行で彼はいくつか景勝の地として有名な都市、例えば、ナポリやフィレンツェを訪れた。	On his tour of Italy, he visited several cities which are famous for their scenic beauty, for instance, Naples and Florence.#ID=66426_229068
A: いそがしいからクラブを辞めるのではない。	I'm not going to quit the club because I am busy.#ID=66448_229090
A: イスがこわれています。誰かに修理してもらったほうがいいですよ。	The chair is broken. You'd better get someone to fix it.#ID=66488_229130
A: 昨日、『悪魔のいけにえ』という映画をガールフレンドと見ました。彼女はとても怖がりました。	I watched the film named "Texas Chainsaw Massacre" with my girlfriend yesterday. She was very afraid.#ID=66505_229147
A: 何冊かの本が盗まれた。	A number of books were stolen.#ID=66533_229175
A: いくつかのシーンがオリジナルから外された。	Several scenes have been cut from the original.#ID=66564_229204
A: イギリス式の朝食はイギリス帝国の建設者たちによって流行らせたものだ。	The English breakfast was made popular by the architects of the British Empire.#ID=66565_229207
A: イエスは振り向き、彼らがついてくるのを見て言われた、「何か願いがあるのか」。	Turning around, Jesus saw them following and asked, "What do you want?"#ID=66665_229307
A: イエスはナタナエルが自分の方に来るのを見て、彼について言われた「見よ、あの人こそ、ほんとうのイスラエル人である。その心には偽りがない」。	When Jesus saw Nathanael approaching, he said of him, "Here truly is an Israelite in whom there is no deceit."#ID=66667_229309
A: 「ドイツ語を話しますか」「いいえ、話しません」	"Do you speak German?" "No, I don't."#ID=475466_229419
A: いいえ、結構です。お腹が一杯ですから。	No, thank you. I've had enough.#ID=66818_229459
A: アナは、親が知らないうちに結婚した。	Anna married without the knowledge of her parents.#ID=66921_229561
A: あんなに大きな鯨、見たことがない。	Never have I seen such a big whale.#ID=66926_229567
A: あんなに早口で英語が話せるのを聞いたことがない。	I've never heard English spoken so quickly.#ID=66930_229570
A: 慌て者なので彼はきっと早とちりをするだろう。	Being a hasty person, he is likely to jump to conclusions.#ID=66981_229627
A: あれは私の本です。	Those are my books.#ID=67002_229641
A: あれは私のCDです。	Those are my CDs.#ID=67003_229642
A: あっちの本は彼らの本です。	Those books are theirs.#ID=67007_229646
A: あっちの本は私の本です。	Those books are mine.#ID=41972_229647
A: あの猫たちは彼女に好かれている。	Those cats are liked by her.#ID=67009_229648
A: あの日本人作家はどう思いますか。	What do you think of those Japanese writers?#ID=67010_229649
A: あの修理工たちは時給一万円ももらっている。	Those mechanics are paid as much as ten thousand yen per hour.#ID=67011_229650
A: あの写真は彼女のものだ。	Those photos are hers.#ID=67012_229651
A: あの建物は建ててから５００年になる。	Those houses are 500 years old.#ID=67013_229652
A: あの花はいい香りがします。	Those flowers smell sweet.#ID=67014_229654
A: あの暗い雲がおそらく雨をもたらすだろう。	Those dark clouds will probably bring rain.#ID=67018_229657
A: あのリンゴは大きい。	Those apples are big.#ID=67019_229658
A: あの犬たちは大きい。	Those dogs are big.#ID=67020_229659
A: あれはバス停です。	That is the bus stop.#ID=67106_229745
A: ある日、子供達の一人が尋ねました。「赤ちゃんはどうやってできるの？」	One of the children asked one day: "Where do babies come from?"#ID=67173_229810
A: ある暑い夏の午後に、彼女は彼氏を町の外の農場に連れていこうと決めました。	One hot summer afternoon she decided to take her boyfriend to a farm outside the town.#ID=67224_229861
A: ある暑い夏の午後、ジョンとダンヌは長くなった牧草を刈っていました。	One hot summer afternoon, John and Dan were cutting the long grass.#ID=67225_229862
A: ある学者が人権についてすばらしい演説を行った。	A scholar made an excellent speech about human rights.#ID=67259_229896
A: レグロさんはアルファベットを逆から言えます。	Mr. Legros can say the alphabet backwards.#ID=929898_229924
A: アリスは微笑んだ。	Alice smiled.#ID=67345_229980
A: アラン・テイートさんと私はしばらくの間お互いに見つめ合った。	Alan Tate and I looked at one another for a while.#ID=67378_230013
A: シニックと言うのは何だ？あらゆる物の価格を知って、いかなる物の価値を知らぬ人間である。	What is a cynic? A man who knows the price of everything, and the value of nothing.#ID=67380_230015
A: 彼はアメリカ経由でヨーロッパへ行った。	He went to Europe by way of America.#ID=67504_230139
A: アメリカ経済は世界最大です。	The U.S. economy is the largest in the world.#ID=67505_230140
A: アメリカに２〜３年滞在したいです。	I want to stay in America for a few years.#ID=67608_230242
A: アメリカでは、私立や教会の学校で制服のあるところもありますが、制服は一般的ではありません。	While some private and church schools in America have uniforms, they are not common.#ID=67635_230269
A: アメリカはどの町にも図書館がある。	Every town in America has a library.#ID=67642_230276
A: あんまり心配すると禿げるよ。	Don't worry too much, or you'll go bald.#ID=67682_230316
A: あの白い建物は病院です。	That white building is a hospital.#ID=67860_230492
A: あの白ワインを少し試してみたらどう？	Why not try some of that white wine?#ID=67861_230495
A: あの背の高い人はスミスさんです。	That tall man is Mr Smith.#ID=67865_230498
A: あの店でノートは売っていますか？	Do they sell notebooks at that store?#ID=67930_230563
A: あの台風で、私たちは外出できなかった。	We couldn't go out because of the typhoon.#ID=400156_230636
A: あの赤ん坊は目もとに愛きょうがある。	That baby has charming eyes.#ID=68031_230663
A: あの人は少なくとも60歳にはなっている。	He is sixty, if a day.#ID=68078_230711
A: あの人は明日来られますか。	Will he be able to come tomorrow?#ID=68116_230749
A: あの人たちは同じ世代です。	Those men are of a generation.#ID=68153_230787
A: あの人が、昨日私たちがうわさしていたアメリカ人です。	That is the American about whom we talked yesterday.#ID=68184_230817
A: あの車をもう何年も持っているようだね。	You seem to have had that car for years.#ID=68279_230911
A: あの時もし一生懸命働いていたら、彼は成功していたことだろう。	If he had worked hard at that time, he would have succeeded.#ID=68302_230935
A: あの子は手がかかる。	That boy is a handful.#ID=68336_230968
A: あの古い家には幽霊が出るそうだ。	They say that old house is haunted.#ID=68413_231045
A: あのレストランは毎日二千食準備している。	That restaurant prepares two thousand meals every day.#ID=68589_231222
A: あのフットボール選手はガタイがいい。	That football player is gigantic.#ID=68626_231259
A: あのノートは誰のですか？	Whose notebook is that?#ID=68649_231281
A: あのドラマ、最後にいつも意味深な言葉を言って終わるよね。	Each episode of that TV drama ends with somebody delivering a profound line.#ID=68655_231288
A: あのころはお昼を食べに家へ帰ったものだ。	I used to go home for lunch in those days.#ID=68695_231328
A: あなたを私の両親に紹介したい。	I want you to meet my parents.#ID=68794_231428
A: あなたをケパと呼ぶことにします。	You will be called Cephas.#ID=68823_231456
A: 明日までに本を返しなさい。	Please return the book by tomorrow.#ID=68895_231529
A: あなたは毎日家でラジオを聞いているのですか。	Do you listen to the radio at home every day?#ID=68920_231553
A: あなたは本をいっぱい持ってますね。	You have a lot of books.#ID=68941_231575
A: あなたは彼の話を聞いているのですか。	Are you listening to him?#ID=69011_231644
A: あなたは大変上手にフランス語が話せる。私もあなたと同じくらい上手に話すことができればよいのに。	You speak French very well. I wish I could speak it as well as you.#ID=69116_231749
A: あなたは推理が当たった。	You guessed right.#ID=69179_231811
A: 新入生の方ですか？	Are you a new student?#ID=69186_231820
A: あなたは新しいバージョンのソフトウェアを要求すべきである。	You must request the latest version of the software.#ID=69193_231826
A: あなたは自分の主要な目的を見失ってはいけない。	You must not lose sight of your main object.#ID=69265_231898
